Año,Edad,Peso
1948,24.0,73.43382352941177
1948,25.0,71.3132530120482
1948,26.0,73.28205128205128
1948,27.0,73.91269841269842
1948,28.0,69.94805194805195
1948,29.0,71.09756097560975
1948,30.0,73.17857142857143
1948,31.0,72.96969696969697
1948,32.0,77.75
1948,33.0,72.95161290322581
1948,34.0,72.75
1948,35.0,74.70588235294117
1948,36.0,72.88095238095238
1948,37.0,80.55555555555556
1948,38.0,76.14285714285714
1948,39.0,74.8
1948,40.0,69.78571428571429
1948,41.0,75.0
1948,42.0,89.0
1948,43.0,72.92857142857143
1948,44.0,68.0
1948,45.0,85.0
1948,46.0,67.33333333333333
1948,47.0,60.0
1948,48.0,66.4
1948,51.0,73.0
1948,52.0,65.0
1952,13.0,60.0
1952,15.0,54.666666666666664
1952,16.0,56.029411764705884
1952,17.0,62.0
1952,18.0,61.18181818181818
1952,19.0,66.74
1952,20.0,67.97222222222223
1952,21.0,72.01773049645391
1952,22.0,71.80874316939891
1952,23.0,70.19565217391305
1952,24.0,71.56363636363636
1952,25.0,72.41304347826087
1952,26.0,71.28389830508475
1952,27.0,69.42672413793103
1952,28.0,73.03846153846153
1952,29.0,69.92528735632185
1952,30.0,68.10588235294118
1952,31.0,69.90259740259741
1952,32.0,70.82894736842105
1952,33.0,72.44444444444444
1952,34.0,72.03703703703704
1952,35.0,73.69047619047619
1952,36.0,79.0
1952,37.0,73.16666666666667
1952,38.0,73.28125
1952,39.0,80.0909090909091
1952,40.0,81.75
1952,41.0,72.11111111111111
1952,42.0,75.83333333333333
1952,43.0,78.4
1952,44.0,70.64285714285714
1952,45.0,68.5
1952,48.0,82.0
1952,49.0,85.0
1952,50.0,78.0
1952,55.0,65.0
1952,56.0,65.0
1952,57.0,86.0
1952,59.0,130.0
1956,12.0,43.5
1956,13.0,54.0
1956,14.0,60.666666666666664
1956,15.0,60.9
1956,16.0,55.588235294117645
1956,17.0,61.659574468085104
1956,18.0,64.46913580246914
1956,19.0,68.6448275862069
1956,20.0,67.48022598870057
1956,21.0,67.84375
1956,22.0,71.4539748953975
1956,23.0,69.278
1956,24.0,72.01970443349754
1956,25.0,71.0383064516129
1956,26.0,74.93354430379746
1956,27.0,70.58875739644971
1956,28.0,71.57723577235772
1956,29.0,71.8
1956,30.0,72.7578125
1956,31.0,72.03191489361703
1956,32.0,76.96078431372548
1956,33.0,71.7
1956,34.0,71.15151515151516
1956,35.0,76.4
1956,36.0,75.3
1956,37.0,66.78
1956,38.0,72.22
1956,39.0,77.94444444444444
1956,40.0,74.1923076923077
1956,41.0,75.7
1956,42.0,73.27272727272727
1956,43.0,71.33333333333333
1956,44.0,84.14285714285714
1956,45.0,60.0
1956,46.0,78.16666666666667
1956,47.0,67.0
1956,48.0,93.66666666666667
1956,49.0,81.0
1956,50.0,63.0
1956,51.0,74.0
1956,52.0,70.0
1956,53.0,79.5
1956,55.0,91.0
1956,56.0,71.5
1956,58.0,66.0
1956,61.0,53.0
1960,12.0,58.0
1960,13.0,53.6
1960,14.0,54.857142857142854
1960,15.0,60.81818181818182
1960,16.0,61.08130081300813
1960,17.0,62.585798816568044
1960,18.0,63.87732342007435
1960,19.0,66.93017456359102
1960,20.0,68.08093525179856
1960,21.0,67.20907617504052
1960,22.0,69.32689832689833
1960,23.0,70.39078751857355
1960,24.0,68.5184659090909
1960,25.0,70.57747603833866
1960,26.0,69.81326530612245
1960,27.0,70.44282238442823
1960,28.0,70.26616915422886
1960,29.0,69.91052631578947
1960,30.0,73.27848101265823
1960,31.0,70.42217898832685
1960,32.0,72.40579710144928
1960,33.0,72.63333333333334
1960,34.0,74.0163043478261
1960,35.0,72.9375
1960,36.0,75.83571428571429
1960,37.0,73.07272727272728
1960,38.0,72.72413793103448
1960,39.0,76.45454545454545
1960,40.0,68.96296296296296
1960,41.0,78.45833333333333
1960,42.0,73.075
1960,43.0,76.35714285714286
1960,44.0,73.84
1960,45.0,75.85714285714286
1960,46.0,73.58823529411765
1960,47.0,78.66666666666667
1960,48.0,71.72727272727273
1960,49.0,66.71428571428571
1960,50.0,77.63636363636364
1960,51.0,77.5
1960,52.0,75.36363636363636
1960,53.0,78.25
1960,54.0,81.4
1960,55.0,72.25
1960,56.0,83.0
1960,57.0,93.0
1960,58.0,62.0
1960,59.0,71.5
1960,60.0,65.0
1960,61.0,87.0
1960,62.0,66.0
1960,64.0,65.0
1960,65.0,53.0
1964,12.0,41.0
1964,13.0,57.5
1964,14.0,55.95238095238095
1964,15.0,56.70454545454545
1964,16.0,62.55172413793103
1964,17.0,62.135
1964,18.0,64.64379084967321
1964,19.0,65.78625
1964,20.0,67.26053639846744
1964,21.0,69.22471098265896
1964,22.0,69.84967320261438
1964,23.0,70.73926767676768
1964,24.0,70.28116883116883
1964,25.0,69.760336906585
1964,26.0,70.03682719546742
1964,27.0,72.02366863905326
1964,28.0,69.86979166666667
1964,29.0,71.06166219839142
1964,30.0,72.3
1964,31.0,71.95901639344262
1964,32.0,72.12105263157895
1964,33.0,72.0920245398773
1964,34.0,72.21610169491525
1964,35.0,71.8076923076923
1964,36.0,73.6590909090909
1964,37.0,75.71111111111111
1964,38.0,78.82692307692308
1964,39.0,77.53333333333333
1964,40.0,78.46774193548387
1964,41.0,75.5
1964,42.0,75.75
1964,43.0,78.38095238095238
1964,44.0,78.6
1964,45.0,74.7
1964,46.0,76.4
1964,47.0,77.33333333333333
1964,48.0,74.08333333333333
1964,49.0,80.25
1964,50.0,71.0
1964,51.0,70.33333333333333
1964,52.0,81.375
1964,53.0,70.0
1964,54.0,85.33333333333333
1964,56.0,71.66666666666667
1964,57.0,71.5
1964,58.0,85.0
1964,59.0,81.0
1964,60.0,73.33333333333333
1968,11.0,47.6
1968,12.0,60.875
1968,13.0,50.05263157894737
1968,14.0,54.851063829787236
1968,15.0,55.91573033707865
1968,16.0,59.481818181818184
1968,17.0,63.61477987421384
1968,18.0,64.24282296650718
1968,19.0,66.68514851485149
1968,20.0,67.98796033994334
1968,21.0,69.07112970711297
1968,22.0,70.03172737955347
1968,23.0,70.5307881773399
1968,24.0,70.83635265700484
1968,25.0,70.89746835443037
1968,26.0,71.11844197138315
1968,27.0,72.06532663316582
1968,28.0,73.34349593495935
1968,29.0,72.48546511627907
1968,30.0,71.79283489096574
1968,31.0,73.03971962616822
1968,32.0,70.77941176470588
1968,33.0,75.15185185185184
1968,34.0,76.66055045871559
1968,35.0,75.89473684210526
1968,36.0,71.28985507246377
1968,37.0,74.94827586206897
1968,38.0,71.56481481481481
1968,39.0,78.48275862068965
1968,40.0,74.28947368421052
1968,41.0,74.63157894736842
1968,42.0,76.6470588235294
1968,43.0,74.84615384615384
1968,44.0,78.625
1968,45.0,72.16666666666667
1968,46.0,78.33333333333333
1968,47.0,75.2
1968,48.0,77.18181818181819
1968,49.0,75.66666666666667
1968,50.0,72.25
1968,51.0,77.0
1968,52.0,74.66666666666667
1968,53.0,72.0
1968,54.0,70.0
1968,55.0,96.0
1968,56.0,75.0
1968,57.0,68.0
1968,59.0,86.5
1968,60.0,61.5
1968,62.0,70.0
1968,65.0,82.0
1968,66.0,70.0
1968,68.0,80.0
1972,12.0,48.0
1972,13.0,52.30769230769231
1972,14.0,52.03478260869565
1972,15.0,55.27225130890052
1972,16.0,57.69257950530035
